id,left,top,right,bottom,row_index,col_index,ID_1,x,y,버스이용량
447,965120.8765,1869540.6174,965220.8765,1869440.6174,2,12,1,127.109460646,36.8229730963,9146
419,965020.8765,1868640.6174,965120.8765,1868540.6174,11,11,2,127.1083807057,36.8148563637,44574
418,965020.8765,1868740.6174,965120.8765,1868640.6174,10,11,3,127.1083761135,36.8157578136,81102
417,965020.8765,1868840.6174,965120.8765,1868740.6174,9,11,4,127.1083715211,36.8166592634,36528
416,965020.8765,1868940.6174,965120.8765,1868840.6174,8,11,5,127.1083669285,36.8175607131,0
423,965020.8765,1868240.6174,965120.8765,1868140.6174,15,11,6,127.1083990724,36.8112505625,128581
422,965020.8765,1868340.6174,965120.8765,1868240.6174,14,11,7,127.108394481,36.812152013,65955
421,965020.8765,1868440.6174,965120.8765,1868340.6174,13,11,8,127.1083898894,36.8130534634,16205
420,965020.8765,1868540.6174,965120.8765,1868440.6174,12,11,9,127.1083852976,36.8139549136,16205
427,965020.8765,1867840.6174,965120.8765,1867740.6174,19,11,10,127.1084174358,36.8076447591,14617
426,965020.8765,1867940.6174,965120.8765,1867840.6174,18,11,11,127.1084128452,36.8085462102,0
425,965020.8765,1868040.6174,965120.8765,1867940.6174,17,11,12,127.1084082545,36.8094476611,0
424,965020.8765,1868140.6174,965120.8765,1868040.6174,16,11,13,127.1084036635,36.8103491119,15641
431,965020.8765,1867440.6174,965120.8765,1867340.6174,23,11,14,127.108435796,36.8040389536,0
430,965020.8765,1867540.6174,965120.8765,1867440.6174,22,11,15,127.1084312062,36.8049404052,0
429,965020.8765,1867640.6174,965120.8765,1867540.6174,21,11,16,127.1084266163,36.8058418566,0
428,965020.8765,1867740.6174,965120.8765,1867640.6174,20,11,17,127.1084220261,36.8067433079,14617
603,965520.8765,1868740.6174,965620.8765,1868640.6174,10,16,18,127.1139819764,36.8157761431,67518
602,965520.8765,1868840.6174,965620.8765,1868740.6174,9,16,19,127.1139774498,36.8166775935,67518
601,965520.8765,1868940.6174,965620.8765,1868840.6174,8,16,20,127.1139729229,36.8175790437,0
607,965520.8765,1868340.6174,965620.8765,1868240.6174,14,16,21,127.114000081,36.8121703401,0
606,965520.8765,1868440.6174,965620.8765,1868340.6174,13,16,22,127.1139955552,36.813071791,0
605,965520.8765,1868540.6174,965620.8765,1868440.6174,12,16,23,127.1139910291,36.8139732418,0
604,965520.8765,1868640.6174,965620.8765,1868540.6174,11,16,24,127.1139865029,36.8148746925,0
579,965420.8765,1867440.6174,965520.8765,1867340.6174,23,15,25,127.1129198025,36.804053632,0
578,965420.8765,1867540.6174,965520.8765,1867440.6174,22,15,26,127.1129152653,36.8049550841,6307
577,965420.8765,1867640.6174,965520.8765,1867540.6174,21,15,27,127.1129107279,36.805856536,6307
576,965420.8765,1867740.6174,965520.8765,1867640.6174,20,15,28,127.1129061904,36.8067579878,21108
583,965420.8765,1867040.6174,965520.8765,1866940.6174,27,15,29,127.1129379492,36.8004478223,0
582,965420.8765,1867140.6174,965520.8765,1867040.6174,26,15,30,127.1129334128,36.801349275,7811
