ID_1,left,top,right,bottom,x,y,학교학원,poi,주택거주인구
4,965020.8765,1868840.617,965120.8765,1868740.617,127.1083715,36.81665926,10,59,96
10,965020.8765,1867840.617,965120.8765,1867740.617,127.1084174,36.80764476,0,1,273
11,965020.8765,1867940.617,965120.8765,1867840.617,127.1084128,36.80854621,1,0,269
12,965020.8765,1868040.617,965120.8765,1867940.617,127.1084083,36.80944766,17,17,535
14,965020.8765,1867440.617,965120.8765,1867340.617,127.1084358,36.80403895,13,28,126
15,965020.8765,1867540.617,965120.8765,1867440.617,127.1084312,36.80494041,13,22,129
16,965020.8765,1867640.617,965120.8765,1867540.617,127.1084266,36.80584186,1,7,24
17,965020.8765,1867740.617,965120.8765,1867640.617,127.108422,36.80674331,5,4,9
27,965420.8765,1867640.617,965520.8765,1867540.617,127.1129107,36.80585654,0,1,366
28,965420.8765,1867740.617,965520.8765,1867640.617,127.1129062,36.80675799,1,1,560
30,965420.8765,1867140.617,965520.8765,1867040.617,127.1129334,36.80134928,3,1,266
31,965420.8765,1867240.617,965520.8765,1867140.617,127.1129289,36.80225073,5,0,278
32,965420.8765,1867340.617,965520.8765,1867240.617,127.1129243,36.80315218,7,12,491
36,965520.8765,1867940.617,965620.8765,1867840.617,127.1140182,36.80856453,1,1,248
37,965520.8765,1868040.617,965620.8765,1867940.617,127.1140137,36.80946599,0,0,444
38,965520.8765,1868140.617,965620.8765,1868040.617,127.1140091,36.81036744,0,0,377
41,965520.8765,1867640.617,965620.8765,1867540.617,127.1140318,36.80586018,4,6,122
42,965520.8765,1867740.617,965620.8765,1867640.617,127.1140272,36.80676163,4,11,31
43,965520.8765,1867840.617,965620.8765,1867740.617,127.1140227,36.80766308,0,2,128
44,965520.8765,1867140.617,965620.8765,1867040.617,127.1140544,36.80135292,0,0,609
45,965520.8765,1867240.617,965620.8765,1867140.617,127.1140499,36.80225437,2,0,289
46,965520.8765,1867340.617,965620.8765,1867240.617,127.1140453,36.80315582,7,4,479
54,965320.8765,1868240.617,965420.8765,1868140.617,127.1117624,36.81126159,3,13,103
55,965320.8765,1868340.617,965420.8765,1868240.617,127.1117578,36.81216304,2,7,176
57,965320.8765,1867740.617,965420.8765,1867640.617,127.1117851,36.80675433,0,0,303
58,965320.8765,1867840.617,965420.8765,1867740.617,127.1117806,36.80765579,1,1,463
59,965320.8765,1867940.617,965420.8765,1867840.617,127.111776,36.80855724,1,1,472
60,965320.8765,1868040.617,965420.8765,1867940.617,127.1117715,36.80945869,12,13,352
61,965320.8765,1867340.617,965420.8765,1867240.617,127.1118034,36.80314853,5,29,239
62,965320.8765,1867440.617,965420.8765,1867340.617,127.1117988,36.80404998,2,16,103
64,965320.8765,1867640.617,965420.8765,1867540.617,127.1117897,36.80585288,0,0,826
83,965420.8765,1868340.617,965520.8765,1868240.617,127.112879,36.8121667,1,4,506
86,965420.8765,1867840.617,965520.8765,1867740.617,127.1129017,36.80765944,0,0,344
88,965420.8765,1868040.617,965520.8765,1867940.617,127.1128926,36.80946234,0,0,453
97,965820.8765,1867440.617,965920.8765,1867340.617,127.1174038,36.80406814,0,0,614
98,965820.8765,1867540.617,965920.8765,1867440.617,127.1173993,36.80496959,1,1,480
99,965820.8765,1867640.617,965920.8765,1867540.617,127.1173948,36.80587105,2,3,278
100,965820.8765,1867740.617,965920.8765,1867640.617,127.1173904,36.8067725,1,0,710
101,965820.8765,1867340.617,965920.8765,1867240.617,127.1174083,36.80316669,0,1,98
111,965920.8765,1867740.617,966020.8765,1867640.617,127.1185114,36.8067761,0,0,395
123,965620.8765,1867640.617,965720.8765,1867540.617,127.1151528,36.80586381,12,9,38
124,965620.8765,1867740.617,965720.8765,1867640.617,127.1151483,36.80676526,2,8,31
127,965620.8765,1867240.617,965720.8765,1867140.617,127.1151708,36.802258,1,0,209
128,965620.8765,1867340.617,965720.8765,1867240.617,127.1151663,36.80315946,4,1,390
130,965620.8765,1867540.617,965720.8765,1867440.617,127.1151573,36.80496236,22,14,41
131,965720.8765,1867340.617,965820.8765,1867240.617,127.1162873,36.80316308,4,1,773
132,965720.8765,1867440.617,965820.8765,1867340.617,127.1162828,36.80406453,8,3,566
133,965720.8765,1867540.617,965820.8765,1867440.617,127.1162783,36.80496598,22,13,227
134,965720.8765,1867640.617,965820.8765,1867540.617,127.1162738,36.80586743,10,6,96
