정류장,04승차,04하차,04승하차,05승차,05하차,05승하차,06승차,06하차,06승하차,총승차,총하차,총승하차,x,y
LH천년나무7단지1,575,1162,1737,617,1220,1837,712,1017,1729,1904,3399,5303,127.10655,36.816982
LH천년나무7단지2,5116,1025,6141,5050,1072,6122,4827,981,5808,14993,3078,18071,127.10637,36.817035
LH행복주택,1193,743,1936,1260,808,2068,1231,772,2003,3684,2323,6007,127.103711,36.822962
갤러리아백화점1,10800,4366,15166,10812,4562,15374,10676,4079,14755,32288,13007,45295,127.104303,36.801077
갤러리아백화점2,5708,9925,15633,5986,10318,16304,5655,10183,15838,17349,30426,47775,127.104521,36.801557
린스트라우스,1425,207,1632,1485,237,1722,1295,196,1491,4205,640,4845,127.101629,36.817035
마디손병원,1564,879,2443,1785,997,2782,1647,924,2571,4996,2800,7796,127.106749,36.806933
백석농공단지입구,1550,1506,3056,1655,1586,3241,1495,1354,2849,4700,4446,9146,127.109013,36.823029
불당2통,62,59,121,7,12,19,45,42,87,114,113,227,127.098789,36.795349
불당금호어울림,567,975,1542,494,1093,1587,495,1010,1505,1556,3078,4634,127.106884,36.822326
불당대동다숲,1116,137,1253,1164,159,1323,1069,134,1203,3349,430,3779,127.113221,36.805605
불당대동아파트108동앞,3680,3418,7098,3756,3353,7109,3689,3212,6901,11125,9983,21108,127.11204,36.806488
불당대원아파트,2485,3196,5681,2508,3195,5703,2522,3195,5717,7515,9586,17101,127.116733,36.804775
불당동문화카페거리,2717,833,3550,2847,987,3834,2668,948,3616,8232,2768,11000,127.106718,36.801537
불당동일하이빌1,1577,137,1714,1944,431,2375,1796,315,2111,5317,883,6200,127.114107,36.807982
불당동일하이빌2,55,968,1023,120,998,1118,108,906,1014,283,2872,3155,127.113717,36.80778
불당동일하이빌2단지,3375,2588,5963,3702,2869,6571,3017,2476,5493,10094,7933,18027,127.110951,36.808526
불당동일하이빌3단지,4502,3186,7688,4521,3262,7783,4424,3109,7533,13447,9557,23004,127.111498,36.8068
불당동주민센터,2304,2805,5109,2571,3101,5672,2174,2686,4860,7049,8592,15641,127.1084655,36.811233
불당동행정복지센터,125,680,805,119,760,879,122,722,844,366,2162,2528,127.113361,36.805588
불당리더힐스1,675,193,868,846,250,1096,742,233,975,2263,676,2939,127.101748,36.822004
불당리더힐스2,2534,2257,4791,2655,2250,4905,2542,2187,4729,7731,6694,14425,127.102625,36.823
불당상업지구입구1,5462,9083,14545,5837,10343,16180,5938,10322,16260,17237,29748,46985,127.108696,36.811274
불당상업지구입구2,4020,1201,5221,4105,1298,5403,4217,1364,5581,12342,3863,16205,127.108874,36.813652
불당시티프라디움3차.펜타포트,2634,8166,10800,2712,8380,11092,2508,8125,10633,7854,24671,32525,127.100257,36.797159
불당신도시1,1911,152,2063,2155,182,2337,1871,157,2028,5937,491,6428,127.104219,36.816559
불당신도시2,578,2234,2812,505,2204,2709,532,2012,2544,1615,6450,8065,127.10433,36.816769
불당아이파크,2322,2818,5140,2384,2678,5062,2404,2600,5004,7110,8096,15206,127.110699,36.808706
불당아이파크후문1,456,1614,2070,426,1601,2027,415,1619,2034,1297,4834,6131,127.107872,36.807321
불당아이파크후문2,2287,480,2767,2414,417,2831,2433,455,2888,7134,1352,8486,127.108308,36.80745
불당이안아파트1,692,179,871,914,293,1207,673,202,875,2279,674,2953,127.101148,36.82002
불당이안아파트2,912,1425,2337,946,1536,2482,878,1362,2240,2736,4323,7059,127.101682,36.820894
불당이통.서당골,863,171,1034,983,212,1195,964,223,1187,2810,606,3416,127.100506,36.800798
불당중흥2차프라디움,620,402,1022,691,418,1109,606,427,1033,1917,1247,3164,127.100695,36.795447
불당지웰더샵,5690,1137,6827,6308,1214,7522,5666,1253,6919,17664,3604,21268,127.105311,36.813655
불당지웰시티4블럭,686,3257,3943,768,3489,4257,782,3482,4265,2236,10228,12464,127.105988,36.815176
불당지웰시티5블럭,1254,5649,6903,1398,5806,7204,1405,5601,7006,4057,17056,21113,127.104972,36.811943
불당풍림아이원아파트,189,51,240,176,72,248,250,87,337,615,210,825,127.108411,36.800533
불당한성아파트1,1018,282,1300,1081,332,1413,1082,300,1382,3181,914,4095,127.112552,36.802825
불당한성아파트2,527,559,1086,530,579,1109,499,556,1055,1556,1694,3250,127.112283,36.802982
불당한성아파트3,2085,4751,6836,2087,4548,6635,2168,4337,6505,6340,13636,19976,127.114513,36.801819
불당현대아이파크1,1741,2685,4426,1817,2900,4717,1610,2810,4420,5168,8395,13563,127.1073,36.80711
불당현대아이파크2,1047,425,1472,1037,381,1418,1082,401,1483,3166,1207,4373,127.1072,36.8085
불당호반아파트,3513,1805,5318,4036,2276,6312,3505,1788,5293,11054,5869,16923,127.1162,36.80567
서당골,2571,2578,5149,2626,2720,5346,2583,2580,5163,7780,7878,15658,127.1007,36.8004
서울대정병원,14639,6323,20962,15647,7084,22731,15461,6801,22262,45747,20208,65955,127.1083,36.81177
시청앞사거리1,6166,6216,12382,6898,6627,13525,6349,5886,12235,19413,18729,38142,127.1097,36.81653
시청앞사거리2,840,10804,11644,932,11709,12641,934,11309,12243,2706,33822,36528,127.1087,36.81593
시청앞사거리3,352,392,744,6205,4636,10841,5614,4184,9798,12171,9212,21383,127.11,36.81597
시청앞사거리4,5706,2217,7923,17035,1354,18389,16836,1426,18262,39577,4997,44574,127.1086,36.8156
원랜드패션몰,5478,3980,9458,1368,2363,3731,377,356,733,7223,6699,13922,127.1058,36.82368
월봉고등학교,5478,3980,9458,1595,2679,4274,5174,1939,7113,12247,8598,20845,127.1093,36.80215
월봉중학교,1201,2224,3425,2363,822,3185,3301,1377,4678,6865,4423,11288,127.1111,36.80172
종합운동장1,1559,2663,4222,1145,3006,4151,1225,2029,3254,3929,7698,11627,127.1107,36.81851
지웰푸르지오정문,919,2499,3418,3390,1385,4775,1979,888,2867,6288,4772,11060,127.106,36.82233
지웰푸르지오후문,3747,1325,5072,5318,1908,7226,829,2740,3569,9894,5973,15867,127.1076,36.82138
천안교육지원청1,3175,1366,4541,444,394,838,3816,1287,5103,7435,3047,10482,127.1115,36.80049
